alternate	value1	value2
true	""""""	""""""
true	""" """	""" """
true	"""a"""	"""a"""
true	"""test123"""	"""test123"""
true	"""!@#"""	"""!@#"""
true	"""0"""	"""0"""
true	"""-1"""	"""-1"""
true	"""1.5"""	"""1.5"""
true	"""9223372036854775807"""	"""9223372036854775807"""
true	"""9223372036854775808"""	"""9223372036854775808"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
false	""""""	""" """
false	""" """	""""""
false	"""a"""	"""test123"""
false	"""test123"""	"""a"""
false	"""!@#"""	"""0"""
false	"""0"""	"""!@#"""
false	"""-1"""	"""1.5"""
false	"""1.5"""	"""-1"""
false	"""9223372036854775807"""	"""9223372036854775808"""
false	"""9223372036854775808"""	"""9223372036854775807"""
false	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	""""""
true	"""a"""	""""""
true	"""test123"""	""""""
true	"""!@#"""	""""""
true	"""0"""	""""""
true	"""-1"""	""""""
true	"""1.5"""	""""""
true	"""9223372036854775807"""	""""""
true	"""9223372036854775808"""	""""""
true	"""a"""	""" """
true	"""test123"""	""" """
true	"""!@#"""	""" """
true	"""0"""	""" """
true	"""-1"""	""" """
true	"""1.5"""	""" """
true	"""9223372036854775807"""	""" """
true	"""9223372036854775808"""	""" """
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	""" """
true	""""""	"""a"""
true	""" """	"""a"""
true	"""!@#"""	"""a"""
true	"""0"""	"""a"""
true	"""-1"""	"""a"""
true	"""1.5"""	"""a"""
true	"""9223372036854775807"""	"""a"""
true	"""9223372036854775808"""	"""a"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""a"""
true	""""""	"""test123"""
true	""" """	"""test123"""
true	"""!@#"""	"""test123"""
true	"""0"""	"""test123"""
true	"""-1"""	"""test123"""
true	"""1.5"""	"""test123"""
true	"""9223372036854775807"""	"""test123"""
true	"""9223372036854775808"""	"""test123"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""test123"""
true	""""""	"""!@#"""
true	""" """	"""!@#"""
true	"""a"""	"""!@#"""
true	"""test123"""	"""!@#"""
true	"""-1"""	"""!@#"""
true	"""1.5"""	"""!@#"""
true	"""9223372036854775807"""	"""!@#"""
true	"""9223372036854775808"""	"""!@#"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""!@#"""
true	""""""	"""0"""
true	""" """	"""0"""
true	"""a"""	"""0"""
true	"""test123"""	"""0"""
true	"""-1"""	"""0"""
true	"""1.5"""	"""0"""
true	"""9223372036854775807"""	"""0"""
true	"""9223372036854775808"""	"""0"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""0"""
true	""""""	"""-1"""
true	""" """	"""-1"""
true	"""a"""	"""-1"""
true	"""test123"""	"""-1"""
true	"""!@#"""	"""-1"""
true	"""0"""	"""-1"""
true	"""9223372036854775807"""	"""-1"""
true	"""9223372036854775808"""	"""-1"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""-1"""
true	""""""	"""1.5"""
true	""" """	"""1.5"""
true	"""a"""	"""1.5"""
true	"""test123"""	"""1.5"""
true	"""!@#"""	"""1.5"""
true	"""0"""	"""1.5"""
true	"""9223372036854775807"""	"""1.5"""
true	"""9223372036854775808"""	"""1.5"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""1.5"""
true	""""""	"""9223372036854775807"""
true	""" """	"""9223372036854775807"""
true	"""a"""	"""9223372036854775807"""
true	"""test123"""	"""9223372036854775807"""
true	"""!@#"""	"""9223372036854775807"""
true	"""0"""	"""9223372036854775807"""
true	"""-1"""	"""9223372036854775807"""
true	"""1.5"""	"""9223372036854775807"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""9223372036854775807"""
true	""""""	"""9223372036854775808"""
true	""" """	"""9223372036854775808"""
true	"""a"""	"""9223372036854775808"""
true	"""test123"""	"""9223372036854775808"""
true	"""!@#"""	"""9223372036854775808"""
true	"""0"""	"""9223372036854775808"""
true	"""-1"""	"""9223372036854775808"""
true	"""1.5"""	"""9223372036854775808"""
true	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""9223372036854775808"""
false	""""""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	""" """	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""a"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""test123"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""!@#"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""0"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""-1"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""1.5"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""9223372036854775807"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	"""9223372036854775808"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
